"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Eden Plaza Kensington","Kensington e Chelsea, Londra Mostra sulla mappa","£30","1 notte, 1 adulto","Camera Singola","1 letto singolo","7,5","Buono","4.148 recensioni","https://www.booking.com/hotel/gb/eden-plaza-kensington.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=26523602_265095652_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=28&highlighted_blocks=26523602_265095652_0_0_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=26523602_265095652_0_0_0__3000&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"European Hotel","Camden, Londra Mostra sulla mappa","£30","1 notte, 1 adulto","Camera Singola Basic con Bagno in Comune","1 letto singolo","6,8","Punteggio medio","3.244 recensioni","https://www.booking.com/hotel/gb/europeanhotels.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=22465010_264246476_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=29&highlighted_blocks=22465010_264246476_0_0_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=22465010_264246476_0_0_0__2999&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"The Belgrove Hotel","Camden, Londra Mostra sulla mappa","£30","1 notte, 1 adulto","Camera Singola con Bagno in Comune","1 letto singolo","6,7","Punteggio medio","2.968 recensioni","https://www.booking.com/hotel/gb/belgrove.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=12165404_264250179_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=30&highlighted_blocks=12165404_264250179_0_0_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=12165404_264250179_0_0_0__2999&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Colliers Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£26","1 notte, 1 adulto","Camera Doppia con WC e Doccia Privati","1 letto matrimoniale alla francese","6,7","Punteggio medio","1.626 recensioni","https://www.booking.com/hotel/gb/colliers.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=4804303_184337834_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=31&highlighted_blocks=4804303_184337834_0_0_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=4804303_184337834_0_0_0__2640&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Carlton Hotel B&B","Quartiere di Westminster, Londra Mostra sulla mappa","£26","1 notte, 1 adulto","Camera Doppia con WC e Doccia Privati","1 letto matrimoniale alla francese","7,2","Buono","1.190 recensioni","https://www.booking.com/hotel/gb/cityhotelcarlton.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=2786_106478242_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=32&highlighted_blocks=2786_106478242_0_0_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=2786_106478242_0_0_0__2640&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"The Tudor Inn Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£26","1 notte, 1 adulto","Camera Singola Deluxe","1 letto singolo","6,7","Punteggio medio","546 recensioni","https://www.booking.com/hotel/gb/the-tudor-inn.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=168787902_275492646_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=33&highlighted_blocks=168787902_275492646_0_0_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=168787902_275492646_0_0_0__2640&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"OYO The Park Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£31","1 notte, 1 adulto","Camera Matrimoniale Standard","1 letto matrimoniale alla francese","7,0","Buono","314 recensioni","https://www.booking.com/hotel/gb/the-park-victoria.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=27014807_175978873_1_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=34&highlighted_blocks=27014807_175978873_1_0_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=27014807_175978873_1_0_0__3062&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Rushmore Hotel","Kensington e Chelsea, Londra Mostra sulla mappa","£31","1 notte, 1 adulto","Camera Singola","1 letto singolo","7,9","Buono","1.057 recensioni","https://www.booking.com/hotel/gb/rushmore.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=3985_97166034_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=35&highlighted_blocks=3985_97166034_0_0_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=3985_97166034_0_0_0__3144&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Enrico Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£32","1 notte, 1 adulto","Camera Singola Standard con Bagno in Comune","1 letto singolo","6,6","Punteggio medio","1.684 recensioni","https://www.booking.com/hotel/gb/enricohotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=12151115_109629412_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=36&highlighted_blocks=12151115_109629412_0_0_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=12151115_109629412_0_0_0__3150&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Best Western Mornington Hotel Hyde Park","Quartiere di Westminster, Londra Mostra sulla mappa","£32","1 notte, 1 adulto","Camera Singola","1 letto singolo","8,2","Ottimo","2.509 recensioni","https://www.booking.com/hotel/gb/moningtonhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=113876_94110082_0_2_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=37&highlighted_blocks=113876_94110082_0_2_0&hpos=11&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=113876_94110082_0_2_0__3200&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Exhibition Court Hotel 4","Kensington e Chelsea, Londra Mostra sulla mappa","£29","1 notte, 1 adulto","Camera Matrimoniale Standard","1 letto matrimoniale alla francese","5,8","Punteggio medio","1.370 recensioni","https://www.booking.com/hotel/gb/exhibitioncourthotel4.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=36395_96106718_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=38&highlighted_blocks=36395_96106718_0_0_0&hpos=12&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=36395_96106718_0_0_0__2926&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Wedgewood Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£29","1 notte, 1 adulto","Camera Singola","1 letto singolo","6,7","Punteggio medio","2.197 recensioni","https://www.booking.com/hotel/gb/wedgewoodhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=4935_88651826_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=39&highlighted_blocks=4935_88651826_0_0_0&hpos=13&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=4935_88651826_0_0_0__2901&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"OYO Flagship Huttons","Quartiere di Westminster, Londra Mostra sulla mappa","£30","1 notte, 1 adulto","Camera Quadrupla Standard","3 letti
(2 singoli, 1 matrimoniale alla francese)","7,2","Buono","2.120 recensioni","https://www.booking.com/hotel/gb/huttonshotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=12148307_88651981_2_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=40&highlighted_blocks=12148307_88651981_2_0_0&hpos=14&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=12148307_88651981_2_0_0__2964&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Linden House Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£34","1 notte, 1 adulto","Camera Matrimoniale Standard (1 Adulto)","1 letto matrimoniale alla francese","7,2","Buono","2.512 recensioni","https://www.booking.com/hotel/gb/linden-house-london.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=17979106_91911049_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=41&highlighted_blocks=17979106_91911049_0_0_0&hpos=15&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=17979106_91911049_0_0_0__3400&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Elmwood Hotel","Camden, Londra Mostra sulla mappa","£30","1 notte, 1 adulto","Camera Singola","1 letto singolo","6,3","Punteggio medio","2.142 recensioni","https://www.booking.com/hotel/gb/elmwood.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=4855903_81126311_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=42&highlighted_blocks=4855903_81126311_0_0_0&hpos=16&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=4855903_81126311_0_0_0__3010&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Sidney Hotel London-Victoria","Quartiere di Westminster, Londra Mostra sulla mappa","£35","1 notte, 1 adulto","Camera Singola","1 letto singolo","8,2","Ottimo","4.945 recensioni","https://www.booking.com/hotel/gb/sidneyhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=12147302_100095835_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=43&highlighted_blocks=12147302_100095835_0_0_0&hpos=17&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=12147302_100095835_0_0_0__3499&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hyde Park Suites","Quartiere di Westminster, Londra Mostra sulla mappa","£31","1 notte, 1 adulto","Camera Matrimoniale","1 letto matrimoniale alla francese","7,3","Buono","957 recensioni","https://www.booking.com/hotel/gb/london-quality-apartments.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=28474719_270810769_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=44&highlighted_blocks=28474719_270810769_0_0_0&hpos=18&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=28474719_270810769_0_0_0__3080&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Guilford House Hotel","Camden, Londra Mostra sulla mappa","£31","1 notte, 1 adulto","Camera Singola","1 letto singolo","6,1","Punteggio medio","472 recensioni","https://www.booking.com/hotel/gb/guilfordhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=5814_132054778_0_1_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=45&highlighted_blocks=5814_132054778_0_1_0&hpos=19&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=5814_132054778_0_1_0__3079&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Barry House","Quartiere di Westminster, Londra Mostra sulla mappa","£35","1 notte, 1 adulto","Camera Singola Basic con Bagno in Comune","1 letto singolo","7,4","Buono","562 recensioni","https://www.booking.com/hotel/gb/barryhousehotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=11955505_91909553_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=46&highlighted_blocks=11955505_91909553_0_0_0&hpos=20&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=11955505_91909553_0_0_0__3520&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"OYO Townhouse Apollo","Quartiere di Westminster, Londra Mostra sulla mappa","£36","1 notte, 1 adulto","Camera Matrimoniale Standard","1 letto matrimoniale alla francese","6,7","Punteggio medio","182 recensioni","https://www.booking.com/hotel/gb/apollo-london1.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=47040608_119990521_2_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=47&highlighted_blocks=47040608_119990521_2_0_0&hpos=21&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=47040608_119990521_2_0_0__3582&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Alexandra Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£32","1 notte, 1 adulto","Camera Doppia con Letti Singoli","2 letti singoli","7,0","Buono","2.851 recensioni","https://www.booking.com/hotel/gb/alexandra-hotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=20381_235009205_0_1_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=48&highlighted_blocks=20381_235009205_0_1_0&hpos=22&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=20381_235009205_0_1_0__3168&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"The Oval House","Lambeth, Londra Mostra sulla mappa","£36","1 notte, 1 adulto","Camera Matrimoniale con Bagno in Comune","1 letto matrimoniale alla francese","8,8","Favoloso","62 recensioni","https://www.booking.com/hotel/gb/the-oval-house.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=654822803_276345228_2_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=49&highlighted_blocks=654822803_276345228_2_0_0&hpos=23&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=654822803_276345228_2_0_0__3600&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Seymour Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£32","1 notte, 1 adulto","Camera Matrimoniale/Doppia con Letti Singoli","2 letti singoli","5,7","Punteggio medio","872 recensioni","https://www.booking.com/hotel/gb/seymourhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=20399_236124412_0_1_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=50&highlighted_blocks=20399_236124412_0_1_0&hpos=24&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=20399_236124412_0_1_0__3168&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Queens Park Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£37","1 notte, 1 adulto","Camera Matrimoniale","1 letto matrimoniale alla francese","7,1","Buono","3.257 recensioni","https://www.booking.com/hotel/gb/queensparkhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=12418_87790766_0_2_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=51&highlighted_blocks=12418_87790766_0_2_0&hpos=25&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=12418_87790766_0_2_0__3699&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Dolphin Inn - The Lodge","Quartiere di Westminster, Londra Mostra sulla mappa","£34","1 notte, 1 adulto","Camera Singola con Bagno","1 letto singolo","7,9","Buono","448 recensioni","https://www.booking.com/hotel/gb/dolphin-inn-the-lodge.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvbrwYAGwAIB0gIkODI2YjExZWUtN2ZjOC00ZTQ4LTgyMTctYjkxZjgxNDA4NTQ42AIE4AIB&sid=c9c5b9d8604058ce01feb054efff0a96&all_sr_blocks=43000403_269353361_1_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=52&highlighted_blocks=43000403_269353361_1_0_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=43000403_269353361_1_0_0__3367&srepoch=1611691510&srpvid=ab8d8d3bddba0145&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"The Premier Notting Hill","Kensington e Chelsea, Londra Mostra sulla mappa","£38","1 notte, 1 adulto","Camera Singola Deluxe","1 letto singolo","7,8","Buono","2.362 recensioni","https://www.booking.com/hotel/gb/shaftesbury-premier-london-notting-hill.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvbrwYAGwAIB0gIkODI2YjExZWUtN2ZjOC00ZTQ4LTgyMTctYjkxZjgxNDA4NTQ42AIE4AIB&sid=c9c5b9d8604058ce01feb054efff0a96&all_sr_blocks=3604101_236434258_0_2_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=53&highlighted_blocks=3604101_236434258_0_2_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=3604101_236434258_0_2_0__3800&srepoch=1611691510&srpvid=ab8d8d3bddba0145&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
